# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: D:\Desktop\TR5_D8M_HDMI\D8M_FMC.csv
# Generated on: Mon Nov 30 22:27:28 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,VCCA_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
BUTTON[3],Input,PIN_BB9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
BUTTON[2],Input,PIN_BB8,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
BUTTON[1],Input,PIN_BD7,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
BUTTON[0],Input,PIN_BC7,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
CAMERA_I2C_SCL,Bidir,PIN_AR20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
CAMERA_I2C_SDA,Bidir,PIN_AT20,4E,B4E_N0,2.5 V,,,,,,,,,,,,,,
CAMERA_PWDN_n,Output,PIN_AU19,4D,B4D_N0,2.5 V,,,,,,,,,,,,,,
CPU_RESET_n,Input,PIN_BC37,3A,B3A_N0,2.5 V,,,,,,,,,,,,,,
FAN_ALERT_n,Input,PIN_AM11,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
FPGA_I2C_SCL,Bidir,PIN_AN11,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
FPGA_I2C_SDA,Bidir,PIN_AP9,4A,B4A_N0,1.5 V,,,,,,,,,,,,,,
FSM_A[26],Output,PIN_BB11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[25],Output,PIN_BC10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[24],Output,PIN_AW11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[23],Output,PIN_AE9,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[22],Output,PIN_BC11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[21],Output,PIN_BA10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[20],Output,PIN_BA12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[19],Output,PIN_BB12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[18],Output,PIN_BD10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[17],Output,PIN_AY10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[16],Output,PIN_AY12,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[15],Output,PIN_AF14,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[14],Output,PIN_AW10,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
FSM_A[13],Output,PIN_BD11,4B,B4B_N0,2.5 V,,,,,,,,,,,,,,
